Time,Number of death,Population,Rate
2016-01,286,"23,440,278",1.2201220480
2016-02,282,"23,445,534",1.2027877036
2016-03,290,"23,449,287",1.2367113763
2016-04,361,"23,452,387",1.5392889432
2016-05,372,"23,456,545",1.5859113096
2016-06,321,"23,461,562",1.3681953486
2016-07,337,"23,461,708",1.4363830630
2016-08,315,"23,465,003",1.3424247165
2016-09,340,"23,468,748",1.4487351434
2016-10,327,"23,476,640",1.3928739377
2016-11,269,"23,483,793",1.1454708360
2016-12,265,"23,492,074",1.1280400360
2017-01,274,"23,496,068",1.1661525665
2017-02,294,"23,496,935",1.2512270217
2017-03,331,"23,496,813",1.4087016822
2017-04,277,"23,499,404",1.1787532994
2017-05,365,"23,503,349",1.5529701746
2017-06,381,"23,508,362",1.6206999024
2017-07,332,"23,514,750",1.4118797776
2017-08,364,"23,516,841",1.5478269382
2017-09,311,"23,519,518",1.3223060098
2017-10,330,"23,526,295",1.4026858033
2017-11,283,"23,532,065",1.2026143902
2017-12,329,"23,539,816",1.3976319951
2018-01,324,"23,543,346",1.3761850164
2018-02,275,"23,544,189",1.1680164477
2018-03,317,"23,545,680",1.3463191549
2018-04,338,"23,547,448",1.4353997087
2018-05,358,"23,550,077",1.5201648810
2018-06,319,"23,552,470",1.3544226996
2018-07,314,"23,554,803",1.3330614567
2018-08,330,"23,556,169",1.4009069132
2018-09,348,"23,557,467",1.4772386182
2018-10,351,"23,562,318",1.4896666788
2018-11,299,"23,566,853",1.2687311284
2018-12,292,"23,571,227",1.2387984724
2019-01,302,"23,572,049",1.2811783990
2019-02,323,"23,571,408",1.3703042262
2019-03,375,"23,571,990",1.5908711992
2019-04,322,"23,571,497",1.3660566404
2019-05,338,"23,572,415",1.4338793883
2019-06,375,"23,574,274",1.5907170673
2019-07,331,"23,576,705",1.4039281571
2019-08,317,"23,577,271",1.3445152325
2019-09,319,"23,577,488",1.3529855259
2019-10,319,"23,580,833",1.3527936015
2019-11,247,"23,584,865",1.0472818055
2019-12,296,"23,588,932",1.2548257802
2020-01,263,"23,590,744",1.1148440253
2020-02,305,"23,590,004",1.2929205099
2020-03,285,"23,589,192",1.2081804243
2020-04,304,"23,589,312",1.2887192301
2020-05,320,"23,589,870",1.3565144700
2020-06,312,"23,591,031",1.3225365182
2020-07,338,"23,592,598",1.4326527329
2020-08,318,"23,593,794",1.3478120560
2020-09,297,"23,593,783",1.2588061864
2020-10,317,"23,596,266",1.3434328974
2020-11,300,"23,598,776",1.2712523734
2020-12,297,"23,603,121",1.2583081703
2021-01,267,"23,604,265",1.1311515101
2021-02,285,"23,600,903",1.2075809133
2021-03,299,"23,596,493",1.2671374513
2021-04,303,"23,591,920",1.2843380276
2021-05,310,"23,586,562",1.3143076977
2021-06,285,"23,583,823",1.2084554739
2021-07,298,"23,578,705",1.2638522769
2021-08,301,"23,574,334",1.2768123163
2021-09,328,"23,568,378",1.3916952622
2021-10,322,"23,566,471",1.3663479780
2021-11,287,"23,563,356",1.2179928869
2021-12,300,"23,561,236",1.2732778535
