Time,Number of death,Population,Rate,Type,P_t_2020_2,P_t_2020_4,P_t_2021_5
2016-01,286,"23,440,278",1.2201220480,0,0,0,0
2016-02,282,"23,445,534",1.2027877036,0,0,0,0
2016-03,290,"23,449,287",1.2367113763,0,0,0,0
2016-04,361,"23,452,387",1.5392889432,0,0,0,0
2016-05,372,"23,456,545",1.5859113096,0,0,0,0
2016-06,321,"23,461,562",1.3681953486,0,0,0,0
2016-07,337,"23,461,708",1.4363830630,0,0,0,0
2016-08,315,"23,465,003",1.3424247165,0,0,0,0
2016-09,340,"23,468,748",1.4487351434,0,0,0,0
2016-10,327,"23,476,640",1.3928739377,0,0,0,0
2016-11,269,"23,483,793",1.1454708360,0,0,0,0
2016-12,265,"23,492,074",1.1280400360,0,0,0,0
2017-01,274,"23,496,068",1.1661525665,0,0,0,0
2017-02,294,"23,496,935",1.2512270217,0,0,0,0
2017-03,331,"23,496,813",1.4087016822,0,0,0,0
2017-04,277,"23,499,404",1.1787532994,0,0,0,0
2017-05,365,"23,503,349",1.5529701746,0,0,0,0
2017-06,381,"23,508,362",1.6206999024,0,0,0,0
2017-07,332,"23,514,750",1.4118797776,0,0,0,0
2017-08,364,"23,516,841",1.5478269382,0,0,0,0
2017-09,311,"23,519,518",1.3223060098,0,0,0,0
2017-10,330,"23,526,295",1.4026858033,0,0,0,0
2017-11,283,"23,532,065",1.2026143902,0,0,0,0
2017-12,329,"23,539,816",1.3976319951,0,0,0,0
2018-01,324,"23,543,346",1.3761850164,0,0,0,0
2018-02,275,"23,544,189",1.1680164477,0,0,0,0
2018-03,317,"23,545,680",1.3463191549,0,0,0,0
2018-04,338,"23,547,448",1.4353997087,0,0,0,0
2018-05,358,"23,550,077",1.5201648810,0,0,0,0
2018-06,319,"23,552,470",1.3544226996,0,0,0,0
2018-07,314,"23,554,803",1.3330614567,0,0,0,0
2018-08,330,"23,556,169",1.4009069132,0,0,0,0
2018-09,348,"23,557,467",1.4772386182,0,0,0,0
2018-10,351,"23,562,318",1.4896666788,0,0,0,0
2018-11,299,"23,566,853",1.2687311284,0,0,0,0
2018-12,292,"23,571,227",1.2387984724,0,0,0,0
2019-01,302,"23,572,049",1.2811783990,0,0,0,0
2019-02,323,"23,571,408",1.3703042262,0,0,0,0
2019-03,375,"23,571,990",1.5908711992,0,0,0,0
2019-04,322,"23,571,497",1.3660566404,0,0,0,0
2019-05,338,"23,572,415",1.4338793883,0,0,0,0
2019-06,375,"23,574,274",1.5907170673,0,0,0,0
2019-07,331,"23,576,705",1.4039281571,0,0,0,0
2019-08,317,"23,577,271",1.3445152325,0,0,0,0
2019-09,319,"23,577,488",1.3529855259,0,0,0,0
2019-10,319,"23,580,833",1.3527936015,0,0,0,0
2019-11,247,"23,584,865",1.0472818055,0,0,0,0
2019-12,296,"23,588,932",1.2548257802,0,0,0,0
2020-01,263,"23,590,744",1.1148440253,0,0,0,0
2020-02,305,"23,590,004",1.2929205099,1,1,0,0
2020-03,285,"23,589,192",1.2081804243,1,2,0,0
2020-04,304,"23,589,312",1.2887192301,1,3,1,0
2020-05,320,"23,589,870",1.3565144700,1,4,2,0
2020-06,312,"23,591,031",1.3225365182,1,5,3,0
2020-07,338,"23,592,598",1.4326527329,1,6,4,0
2020-08,318,"23,593,794",1.3478120560,1,7,5,0
2020-09,297,"23,593,783",1.2588061864,1,8,6,0
2020-10,317,"23,596,266",1.3434328974,1,9,7,0
2020-11,300,"23,598,776",1.2712523734,1,10,8,0
2020-12,297,"23,603,121",1.2583081703,1,11,9,0
2021-01,267,"23,604,265",1.1311515101,1,12,10,0
2021-02,285,"23,600,903",1.2075809133,1,13,11,0
2021-03,299,"23,596,493",1.2671374513,1,14,12,0
2021-04,303,"23,591,920",1.2843380276,1,15,13,0
2021-05,310,"23,586,562",1.3143076977,1,16,14,1
2021-06,285,"23,583,823",1.2084554739,1,17,15,2
2021-07,298,"23,578,705",1.2638522769,1,18,16,3
2021-08,301,"23,574,334",1.2768123163,1,19,17,4
2021-09,328,"23,568,378",1.3916952622,1,20,18,5
2021-10,322,"23,566,471",1.3663479780,1,21,19,6
2021-11,287,"23,563,356",1.2179928869,1,22,20,7
2021-12,300,"23,561,236",1.2732778535,1,23,21,8
