Time,Type,T_t,P_t_2020_2,P_t_2020_4,P_t_2021_5,Male Death,Female Death,Number of Death,Total Population ,Male Population ,Female Population,Male Rate,Female Rate,Total Rate,S_1,S_2,S_3
2016-01,0.00,1.00,0.00,0.00,0.00,187.00,87.00,274.00,23496068.00,11712764.00,11783304.00,1.60,0.74,1.17,1.00,0.00,0.00
2016-02,0.00,2.00,0.00,0.00,0.00,201.00,93.00,294.00,23496935.00,11711706.00,11785229.00,1.72,0.79,1.25,1.00,0.00,0.00
2016-03,0.00,3.00,0.00,0.00,0.00,205.00,126.00,331.00,23496813.00,11710082.00,11786731.00,1.75,1.07,1.41,1.00,0.00,0.00
2016-04,0.00,4.00,0.00,0.00,0.00,167.00,110.00,277.00,23499404.00,11709898.00,11789506.00,1.43,0.93,1.18,0.00,1.00,0.00
2016-05,0.00,5.00,0.00,0.00,0.00,245.00,120.00,365.00,23503349.00,11710494.00,11792855.00,2.09,1.02,1.55,0.00,1.00,0.00
2016-06,0.00,6.00,0.00,0.00,0.00,256.00,125.00,381.00,23508362.00,11711541.00,11796821.00,2.19,1.06,1.62,0.00,1.00,0.00
2016-07,0.00,7.00,0.00,0.00,0.00,226.00,106.00,332.00,23514750.00,11713460.00,11801290.00,1.93,0.90,1.41,0.00,0.00,1.00
2016-08,0.00,8.00,0.00,0.00,0.00,244.00,120.00,364.00,23516841.00,11713364.00,11803477.00,2.08,1.02,1.55,0.00,0.00,1.00
2016-09,0.00,9.00,0.00,0.00,0.00,213.00,98.00,311.00,23519518.00,11713562.00,11805956.00,1.82,0.83,1.32,0.00,0.00,1.00
2016-10,0.00,10.00,0.00,0.00,0.00,226.00,104.00,330.00,23526295.00,11715578.00,11810717.00,1.93,0.88,1.40,0.00,0.00,0.00
2016-11,0.00,11.00,0.00,0.00,0.00,195.00,88.00,283.00,23532065.00,11716952.00,11815113.00,1.66,0.74,1.20,0.00,0.00,0.00
2016-12,0.00,12.00,0.00,0.00,0.00,209.00,120.00,329.00,23539816.00,11719270.00,11820546.00,1.78,1.02,1.40,0.00,0.00,0.00
2017-01,0.00,13.00,0.00,0.00,0.00,187.00,87.00,274.00,23543346.00,11719646.00,11823700.00,1.60,0.74,1.16,1.00,0.00,0.00
2017-02,0.00,14.00,0.00,0.00,0.00,201.00,93.00,294.00,23544189.00,11718795.00,11825394.00,1.72,0.79,1.25,1.00,0.00,0.00
2017-03,0.00,15.00,0.00,0.00,0.00,205.00,126.00,331.00,23545680.00,11718068.00,11827612.00,1.75,1.07,1.41,1.00,0.00,0.00
2017-04,0.00,16.00,0.00,0.00,0.00,167.00,110.00,277.00,23547448.00,11717633.00,11829815.00,1.43,0.93,1.18,0.00,1.00,0.00
